v3;v28;v30;v31;v32;v33;v34;v35;v37;v135;v178;v179;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v197;v198;v199;v200;v201;v202;v210;v214;v216;v218;edad;añonac;v89;v90;TIPORELI;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEXPR;STATUSR;v123
474;3;3;3;3;3;3;3;3;3;2;1;7;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;6;2;1;1;1;1;1;1;98;2;52;12;52.00;1.929;1;4;4.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;3.00;-1.09910;-0.14692;0.78;#¡NULO!
475;3;3;3;3;3;3;3;2;4;2;1;7;1;1;#¡NULO!;2;2;2;2;2;7;2;8;8;8;10;10;1;98;1;21;21;21.00;1.960;6;#¡NULO!;3.00;1.00;2.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;1.09417;1.38255;0.55;#¡NULO!
476;3;3;3;3;3;3;3;2;3;2;1;4;1;1;1;#¡NULO!;2;2;2;2;6;2;2;2;2;8;9;5;98;1;27;21;27.00;1.954;6;#¡NULO!;3.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;-0.15695;1.94333;2.11;#¡NULO!
477;3;3;3;3;3;3;3;2;4;2;10;7;3;1;1;2;2;2;2;2;3;2;5;5;3;9;7;5;98;1;31;21;31.00;1.950;1;1;4.00;2.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;1.17225;0.86168;2.42;3
478;2;3;3;3;3;3;3;3;1;2;1;1;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;98;2;74;14;74.00;1.907;6;#¡NULO!;1.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;-0.18026;-0.04491;2.47;#¡NULO!
479;2;1;3;3;3;3;2;2;1;1;1;1;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;10;1;1;1;1;4;9;1;1;2;60;15;60.00;1.921;1;4;1.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;2.00;3.00;-0.80066;0.91467;2.52;7
480;3;3;3;3;3;3;3;2;1;1;1;2;1;1;1;1;1;1;1;1;10;1;1;1;1;4;10;1;1;1;65;21;65.00;1.916;1;1;1.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;3.00;3.00;-0.67808;1.12272;2.42;6
481;3;3;3;3;3;3;3;3;1;#¡NULO!;1;3;1;1;1;1;1;1;1;1;10;2;1;1;1;2;5;1;98;1;54;14;54.00;1.927;1;3;2.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.05690;0.53322;-1.70;#¡NULO!
482;3;3;3;3;3;3;3;3;1;2;1;4;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;98;1;44;12;44.00;1.937;1;2;2.00;2.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.61497;1.50690;-1.49;#¡NULO!
483;3;3;3;3;3;3;3;3;1;#¡NULO!;1;3;1;1;1;1;1;1;1;1;10;1;1;1;1;5;7;1;98;2;67;12;67.00;1.914;6;#¡NULO!;2.00;2.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-0.88362;-0.22065;2.25;#¡NULO!
