v3;v28;v30;v31;v32;v33;v34;v35;v37;v135;v178;v179;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v197;v198;v199;v200;v201;v202;v210;v214;v216;v218;edad;añonac;v89;v90;TIPORELI;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEXPR;STATUSR;v123
1.383;1;3;3;1;3;3;1;1;1;1;1;2;1;1;#¡NULO!;1;1;1;1;1;7;1;1;1;1;1;1;1;98;1;61;14;61.00;1.920;1;3;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;3.00;3.00;-1.39225;0.29869;-0.37;9
1.384;3;3;3;3;3;3;3;1;1;2;1;4;2;1;1;2;2;2;2;2;5;2;1;2;1;1;5;2;2;1;20;20;20.00;1.961;6;#¡NULO!;2.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;0.53521;-0.58523;1.57;3
1.385;3;3;3;3;3;1;3;2;1;3;1;2;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;4;1;40;21;40.00;1.941;1;3;1.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;3.00;1.00;-1.08276;-0.56733;2.11;8
1.386;3;3;3;3;3;3;3;2;2;1;1;2;2;1;1;2;2;2;2;1;7;1;1;2;2;1;2;2;98;2;32;21;32.00;1.949;1;2;1.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.15311;-1.02810;0.80;7
1.387;1;3;3;3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;10;1;2;1;1;1;1;1;98;2;73;18;73.00;1.908;5;6;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;2.00;3.00;-1.02276;-0.55764;0.32;10
1.388;3;3;1;3;3;1;3;2;3;2;10;7;3;2;2;2;2;2;2;2;1;2;1;3;5;7;1;2;2;1;41;21;41.00;1.940;1;2;4.00;1.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;4.00;3.00;-0.54740;-0.84522;0.73;3
1.389;3;3;3;3;3;3;3;1;3;2;1;4;2;1;1;1;2;2;2;1;5;2;1;1;2;2;2;2;98;2;28;16;28.00;1.953;1;2;4.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;2.00;3.00;-1.01195;0.09065;0.69;3
1.390;3;1;3;3;3;3;3;2;3;2;1;4;2;1;1;1;2;2;2;1;4;2;4;5;2;2;2;3;98;2;19;19;19.00;1.962;6;#¡NULO!;4.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;3.00;0.35962;-0.37754;1.65;4
1.391;3;3;3;3;3;3;3;2;2;2;1;3;1;1;2;1;2;2;2;2;8;1;1;1;2;3;1;2;2;2;56;16;56.00;1.925;1;#¡NULO!;2.00;0.00;1.00;2.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;2.00;3.00;1.50817;-0.72037;-0.80;5
1.392;3;3;3;3;3;3;3;2;3;2;1;4;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;1;3;2;1;1;3;4;6;4;3;1;71;13;71.00;1.910;5;4;3.00;2.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;0.38395;1.81976;-1.03;4
1.393;3;3;3;3;3;3;3;3;1;2;1;2;1;1;1;1;2;2;1;2;10;1;1;1;1;2;1;1;98;2;59;16;59.00;1.922;6;#¡NULO!;1.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-0.70441;-0.80265;-1.65;5
1.394;3;3;2;3;3;3;3;1;4;2;10;7;2;2;#¡NULO!;1;2;2;2;2;2;2;5;1;8;10;10;1;2;1;26;21;26.00;1.955;1;1;4.00;0.00;2.00;1.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;4.00;3.00;2.23468;0.27210;0.73;3
1.395;3;3;3;3;3;3;3;2;3;1;1;4;2;1;2;1;2;2;2;2;4;2;1;1;3;3;5;1;1;1;33;17;33.00;1.948;1;3;4.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;2.00;1.00;-0.24088;-0.62318;-1.30;5
1.396;3;3;3;3;3;3;3;1;1;1;1;2;1;1;1;1;#¡NULO!;1;1;1;7;1;1;1;1;3;1;2;4;2;68;20;68.00;1.913;1;6;1.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;1.00;-0.59646;0.44010;0.09;7
1.397;1;3;3;3;1;3;3;2;1;2;1;1;1;1;1;1;#¡NULO!;#¡NULO!;1;1;5;1;3;2;2;2;2;1;98;2;41;14;41.00;1.940;1;2;1.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;3.00;-0.46007;0.05512;0.30;6
1.398;1;1;3;1;3;3;1;2;3;2;1;2;1;1;1;1;2;1;1;2;6;1;2;2;3;3;3;1;4;1;26;18;26.00;1.955;6;#¡NULO!;2.00;2.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;3.00;1.00;0.06151;0.15369;0.87;6
1.399;1;3;3;3;3;3;1;3;4;2;1;4;2;1;2;2;2;2;2;2;4;2;5;5;5;5;3;2;98;1;50;14;50.00;1.931;1;2;4.00;1.00;0.00;2.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;0.26914;-1.42688;-0.82;7
1.400;1;2;3;3;3;3;2;2;2;2;1;2;1;1;#¡NULO!;2;2;2;2;2;5;1;1;1;1;1;1;2;4;2;42;21;42.00;1.939;1;3;1.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;2.00;1.00;1.03155;-0.55541;1.88;8
1.401;2;1;3;3;3;3;1;2;1;2;1;3;2;1;1;2;2;#¡NULO!;#¡NULO!;2;6;2;6;7;6;6;2;1;77;2;20;21;20.00;1.961;6;#¡NULO!;2.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;1.00;0.47980;-2.01688;0.30;2
1.402;3;1;1;3;3;3;3;2;1;1;1;2;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;3;98;1;19;21;19.00;1.962;6;#¡NULO!;1.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;-0.71686;0.61825;1.62;9
1.403;1;3;1;3;3;3;1;1;3;2;1;3;2;1;1;2;2;2;2;1;5;1;10;10;10;10;5;2;2;1;46;21;46.00;1.935;1;3;4.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;3.00;2.00;1.18478;0.00612;0.87;3
1.404;1;3;3;3;3;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;6;1;5;5;2;5;4;5;98;2;71;13;71.00;1.910;1;2;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;-0.83525;-1.47441;-0.57;7
1.405;3;3;3;3;3;3;1;1;3;2;1;6;2;1;1;#¡NULO!;2;2;1;2;4;1;1;1;2;3;1;1;1;1;34;16;34.00;1.947;1;2;4.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.31498;0.42357;-0.15;5
1.406;3;3;3;3;3;3;1;2;3;2;1;6;2;1;1;2;2;2;2;2;4;2;1;1;3;6;1;1;2;2;29;18;29.00;1.952;1;1;4.00;2.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;1.26355;0.27414;0.53;2
1.407;3;3;3;3;3;3;3;3;4;2;1;7;2;#¡NULO!;2;2;2;2;2;2;2;2;1;1;2;5;1;1;98;1;19;16;19.00;1.962;6;#¡NULO!;4.00;2.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;1.14098;0.06609;0.19;#¡NULO!
1.408;3;3;3;3;3;3;3;3;4;2;1;5;2;1;#¡NULO!;1;2;2;1;#¡NULO!;3;2;1;1;3;6;1;2;98;2;19;21;19.00;1.962;6;#¡NULO!;4.00;1.00;0.00;0.00;2.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;1.86301;-0.12266;0.19;4
1.409;1;3;3;3;3;3;3;1;1;2;1;2;2;1;1;1;2;2;2;1;8;1;2;4;2;4;6;2;3;2;46;14;46.00;1.935;1;3;1.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;2.00;1.00;0.65860;-2.10183;-0.45;3
1.410;3;3;3;3;3;3;3;2;3;2;1;2;1;1;1;1;1;1;1;1;10;1;3;2;1;1;2;5;98;1;67;16;67.00;1.914;1;4;2.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;3.00;-0.27954;-1.50711;-1.41;7
1.411;3;3;3;3;3;3;3;1;3;1;1;2;2;1;1;1;2;1;2;1;5;1;2;2;2;2;2;2;98;1;53;14;53.00;1.928;1;4;4.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;2.00;1.00;-0.07873;-0.71766;-0.65;4
1.412;3;3;3;3;3;3;3;1;2;2;1;2;2;1;1;1;1;1;1;1;10;1;3;2;4;5;3;2;98;2;42;14;42.00;1.939;1;2;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.48604;0.21655;2.05;8
1.413;3;3;3;3;3;3;3;2;2;1;1;2;1;1;2;1;2;#¡NULO!;2;2;5;#¡NULO!;1;1;1;3;5;3;1;1;60;16;60.00;1.921;1;4;1.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;3.00;0.80937;-2.05000;0.36;5
1.414;3;3;3;3;3;3;3;1;2;1;1;4;#¡NULO!;1;2;1;2;2;2;2;5;2;1;1;3;4;6;4;4;1;44;16;44.00;1.937;1;3;2.00;2.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;2.00;3.00;-0.08049;0.38063;-0.67;5
1.415;1;3;3;3;3;3;3;2;2;1;1;1;1;1;1;1;#¡NULO!;1;1;1;10;1;1;1;1;1;5;1;1;2;69;13;69.00;1.912;1;3;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;-1.54376;0.71215;-0.04;6
1.416;3;3;3;3;3;3;3;2;2;2;1;4;1;1;2;1;2;2;1;1;6;1;1;2;3;3;#¡NULO!;#¡NULO!;1;2;58;14;58.00;1.923;1;4;2.00;0.00;1.00;2.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;3.00;0.55005;-0.34615;-1.56;5
1.417;2;3;1;3;1;3;1;2;2;1;1;3;2;1;1;1;2;#¡NULO!;2;1;2;2;6;2;4;1;2;3;98;2;20;16;20.00;1.961;6;#¡NULO!;2.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;2.00;2.00;2.04315;-3.58479;-0.78;6
1.418;1;3;3;1;3;3;1;3;3;2;1;4;2;1;2;2;2;2;2;2;6;2;3;2;5;2;2;4;98;1;28;14;28.00;1.953;1;1;4.00;1.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;3.00;1.00;-0.59227;-1.03989;-1.70;5
1.419;1;3;3;3;3;3;1;3;1;2;1;2;1;1;1;#¡NULO!;1;1;1;1;9;1;1;1;1;1;1;1;98;1;79;12;79.00;1.902;1;2;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;2.00;-1.18142;-0.58644;-1.04;6
1.420;1;3;3;3;3;3;3;2;2;2;1;2;1;1;#¡NULO!;#¡NULO!;1;1;1;1;7;1;1;1;1;1;1;1;2;2;20;21;20.00;1.961;6;#¡NULO!;1.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;2.00;3.00;-0.63131;-0.84158;-0.57;5
1.421;1;3;3;3;3;3;1;3;1;2;1;2;1;1;#¡NULO!;#¡NULO!;1;1;1;1;7;1;1;1;1;1;1;#¡NULO!;98;1;34;16;34.00;1.947;1;4;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;2.00;-1.18142;-0.58644;-0.65;#¡NULO!
1.422;1;3;3;3;3;3;3;3;1;1;1;1;1;1;#¡NULO!;1;1;1;1;1;10;1;1;1;1;1;1;1;98;2;67;12;67.00;1.914;5;2;1.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-1.03494;-0.81743;-1.93;#¡NULO!
1.423;1;3;3;3;3;3;1;2;1;1;1;2;1;1;#¡NULO!;1;1;1;1;1;8;1;1;1;1;1;1;1;4;1;29;14;29.00;1.952;1;2;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;2.00;3.00;-1.10716;0.06478;-0.65;7
1.424;1;1;3;3;1;3;1;2;4;1;1;3;2;1;2;2;2;2;2;2;7;2;5;3;4;5;4;2;2;2;21;21;21.00;1.960;6;#¡NULO!;4.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;-0.22307;-0.71014;-1.48;6
1.425;3;3;3;3;3;3;1;1;2;3;1;2;2;1;1;2;2;2;2;1;6;1;3;6;3;2;5;7;98;1;24;16;24.00;1.957;6;#¡NULO!;1.00;2.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.39390;-2.34364;-0.76;4
1.426;2;3;3;3;3;3;3;3;1;2;1;3;1;1;1;1;1;1;1;1;6;1;2;3;3;4;4;5;98;2;56;12;56.00;1.925;1;2;2.00;1.00;2.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;1.00;0.61433;-0.30476;-0.57;5
1.427;1;3;3;1;3;3;1;2;2;2;1;2;1;1;#¡NULO!;1;1;1;2;2;6;2;5;3;2;4;6;4;1;1;37;14;37.00;1.944;1;#¡NULO!;1.00;2.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;3.00;3.00;0.80875;-0.07259;-1.84;3
1.428;1;3;3;3;3;3;3;2;2;2;1;2;1;1;1;1;1;2;1;1;9;1;1;1;1;4;1;2;4;2;34;16;34.00;1.947;1;2;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;-0.92535;-1.07391;-0.78;5
1.429;3;3;3;3;3;3;3;2;3;2;1;3;1;1;2;1;1;2;2;1;6;1;1;1;3;4;8;5;1;1;63;12;63.00;1.918;5;6;3.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;3.00;3.00;-0.52988;0.41001;-0.07;5
1.430;2;3;3;3;3;3;3;2;2;1;1;2;1;1;#¡NULO!;1;1;#¡NULO!;#¡NULO!;#¡NULO!;7;1;1;2;5;5;5;5;2;1;52;16;52.00;1.929;1;3;1.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;2.00;1.00;-0.10448;-1.78197;-0.86;4
1.431;2;3;3;3;3;3;3;2;1;2;1;1;1;1;1;1;1;#¡NULO!;1;1;10;1;1;1;3;2;5;3;98;2;46;13;46.00;1.935;1;6;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;-0.79709;-0.64394;-0.33;6
1.432;3;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;5;1;2;41;17;41.00;1.940;1;4;1.00;2.00;1.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;-0.04513;0.76182;-0.57;8
1.433;3;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;8;1;1;1;1;5;3;#¡NULO!;98;2;43;13;43.00;1.938;1;5;1.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;3.00;0.34933;-0.72262;-0.38;#¡NULO!
1.434;3;3;3;3;3;3;3;1;3;1;1;2;1;1;2;1;2;2;1;1;6;1;2;3;3;4;7;4;2;1;33;18;33.00;1.948;1;2;2.00;2.00;0.00;1.00;0.00;0.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;2.00;3.00;0.18491;0.43260;-0.59;6
1.435;3;3;3;3;3;3;3;2;3;2;1;3;#¡NULO!;#¡NULO!;1;1;1;#¡NULO!;#¡NULO!;2;4;2;3;2;5;5;8;4;1;2;23;18;23.00;1.958;6;#¡NULO!;4.00;0.00;0.00;2.00;1.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;2.00;1.00;1.51808;-1.95016;-0.60;5
1.436;3;3;3;3;3;3;3;2;2;2;1;2;1;1;1;1;1;1;1;1;7;1;1;2;2;2;5;1;98;2;68;15;68.00;1.913;1;6;1.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;-0.67069;-1.01091;-1.76;#¡NULO!
1.437;3;3;3;3;3;3;3;2;2;1;1;2;1;1;#¡NULO!;1;1;#¡NULO!;1;1;7;1;1;1;3;4;5;1;1;1;42;16;42.00;1.939;1;4;1.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;2.00;1.00;-0.23294;-2.42471;-0.65;6
1.438;1;3;3;3;3;3;1;1;2;1;1;3;1;1;1;2;2;2;2;2;5;1;6;4;8;7;2;4;1;1;46;14;46.00;1.935;1;1;2.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;2.00;1.00;0.96144;-3.23294;-0.86;6
1.439;2;3;3;3;3;3;1;2;1;2;1;2;2;1;1;1;2;1;1;2;5;1;4;4;3;3;4;4;4;2;41;12;41.00;1.940;1;3;1.00;2.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;4.00;2.00;0.97770;-0.82453;-0.92;6
1.440;3;3;3;3;3;3;1;3;3;2;1;2;1;1;2;2;2;2;2;1;3;2;3;2;2;2;3;7;1;1;58;12;58.00;1.923;1;#¡NULO!;2.00;1.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;3.00;0.33453;-0.97374;-0.42;6
1.441;1;3;3;3;3;3;3;2;3;3;1;1;1;1;2;1;1;#¡NULO!;#¡NULO!;#¡NULO!;6;2;2;3;3;4;5;2;98;2;63;14;63.00;1.918;5;2;2.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;2.00;1.00;-0.84239;-0.34607;-1.87;3
1.442;1;3;3;3;3;3;3;1;2;3;1;3;2;2;1;2;#¡NULO!;2;2;1;2;2;1;1;1;1;1;1;4;2;70;16;70.00;1.911;5;5;2.00;2.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;3.00;3.00;-0.12832;0.11425;-1.55;7
1.443;1;3;3;3;3;3;3;3;1;2;1;2;1;1;#¡NULO!;1;1;1;1;1;8;1;1;1;1;1;1;1;98;2;24;16;24.00;1.957;1;1;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-1.55299;-0.73983;-0.57;6
1.444;1;3;3;3;3;3;3;3;1;2;1;2;1;1;#¡NULO!;1;2;1;1;1;10;1;1;1;1;1;1;2;98;2;34;12;34.00;1.947;1;2;1.00;1.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;2.00;-1.19223;-1.86270;-0.57;#¡NULO!
1.445;2;3;3;3;3;3;3;3;2;2;1;2;1;1;2;#¡NULO!;2;1;1;2;7;1;1;3;1;1;1;1;98;1;19;15;19.00;1.962;6;#¡NULO!;1.00;2.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;2.00;-0.59088;-0.37698;-0.42;#¡NULO!
1.446;1;3;3;3;3;3;3;2;1;2;1;2;1;1;1;1;1;1;1;1;8;1;1;1;1;2;1;1;98;1;68;12;68.00;1.913;1;4;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;2.00;-1.46902;-1.82555;-1.04;8
1.447;1;3;3;3;3;3;3;3;1;1;1;2;1;1;#¡NULO!;#¡NULO!;1;1;1;1;8;1;1;1;1;1;1;1;98;1;33;14;33.00;1.948;1;3;1.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-1.55299;-0.73983;-0.15;6
1.448;3;3;3;3;3;3;3;3;2;2;1;3;2;#¡NULO!;1;1;1;2;2;2;4;2;1;1;5;5;8;6;2;1;19;21;19.00;1.962;6;#¡NULO!;2.00;2.00;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;2.00;3.00;1.00943;0.31592;0.78;4
1.449;3;3;2;2;3;3;3;1;4;2;10;7;3;#¡NULO!;1;1;1;1;1;1;2;2;7;6;10;10;10;5;3;1;26;18;26.00;1.955;6;#¡NULO!;4.00;0.00;0.00;2.00;1.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;4.00;3.00;2.01594;-0.66363;-1.36;3
1.450;3;3;3;3;3;3;3;1;2;1;1;3;1;1;1;1;1;1;1;1;8;1;1;1;1;3;5;1;4;1;43;19;43.00;1.938;1;3;2.00;2.00;0.00;1.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;4.00;2.00;-0.92567;0.26517;0.87;8
1.451;3;3;3;3;3;3;3;2;3;1;1;3;1;1;1;1;2;2;1;#¡NULO!;10;1;3;3;4;5;9;1;1;2;36;21;36.00;1.945;1;1;3.00;0.00;1.00;2.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;2.00;3.00;1.09504;-0.61416;1.06;4
1.452;3;3;3;3;3;3;3;1;1;1;1;2;1;1;1;1;2;2;2;2;5;1;2;3;3;4;6;4;1;1;34;18;34.00;1.947;1;2;1.00;2.00;1.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.83680;0.63330;0.09;5
1.453;3;3;3;3;3;3;3;1;1;2;1;7;1;1;2;1;2;2;2;2;3;2;1;1;4;5;10;1;1;1;22;16;22.00;1.959;6;#¡NULO!;2.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;3.00;3.00;-0.32613;0.85129;-1.49;5
1.454;3;3;3;3;3;3;3;1;3;2;1;3;2;1;1;1;2;2;1;1;5;2;5;4;4;4;3;1;2;1;55;14;55.00;1.926;1;1;4.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.00;0.03928;-0.44283;-1.65;4
1.455;1;1;1;1;3;3;1;2;2;2;1;1;1;1;1;2;2;2;2;2;6;2;3;2;3;2;3;1;1;2;63;14;63.00;1.918;1;#¡NULO!;1.00;0.00;0.00;2.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;1.00;0.68481;-1.51147;0.94;5
1.456;3;3;3;3;3;3;1;2;3;3;1;2;2;1;1;1;1;1;1;2;4;2;3;2;2;4;4;4;4;1;69;16;69.00;1.912;1;4;4.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;4.00;2.00;0.08119;-0.08892;-1.36;6
1.457;1;3;3;3;3;3;3;2;1;1;1;3;2;1;1;1;1;1;2;1;6;1;1;1;1;1;1;1;98;2;71;12;71.00;1.910;1;2;2.00;2.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;4.00;3.00;0.05527;-0.17932;2.05;4
1.458;3;3;3;2;1;3;1;2;4;2;1;2;2;1;#¡NULO!;2;2;2;2;#¡NULO!;5;2;5;5;5;7;5;1;77;1;21;21;21.00;1.960;6;#¡NULO!;4.00;0.00;2.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;3.00;3.00;0.93780;-0.30608;0.92;2
1.459;2;1;3;3;3;1;1;2;4;2;1;4;1;#¡NULO!;2;2;#¡NULO!;2;2;1;3;2;1;1;4;4;1;1;98;2;20;21;20.00;1.961;6;#¡NULO!;3.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;1.00;1.00;-0.17830;-1.96989;-0.04;3
