NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
1.839;4.00;2;99;3;2;1.00;1.00;1.00;2.00;6;6;5;7;1;1;-0.39634;0.14857;1;99;4.00;2;1;56.00;12;99;3
1.842;1.00;1;8;1;1;1.00;1.00;1.00;1.00;99;1;1;1;1;1;-0.90097;-0.12890;1;99;4.00;2;1;65.00;12;99;2
1.849;4.00;99;3;4;3;2.00;2.00;2.00;2.00;99;99;99;99;99;99;0.34173;-0.10619;9;99;4.00;1;6;23.00;14;11;4
1.853;2.00;99;5;2;2;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.80253;-0.44896;9;4;1.00;1;1;68.00;12;11;4
1.869;2.00;1;10;3;1;1.00;2.00;2.00;2.00;1;1;1;1;1;1;1.07937;-0.42593;2;1;1.00;1;1;40.00;12;7;3
1.873;4.00;99;1;99;1;1.00;1.00;2.00;2.00;3;2;2;5;99;99;1.64874;-0.86977;3;6;3.00;2;1;43.00;17;99;1
1.875;1.00;1;8;2;1;1.00;2.00;1.00;1.00;5;5;5;5;5;5;0.34173;-0.10619;9;4;1.00;1;6;35.00;16;4;2
1.885;2.00;1;7;3;1;1.00;2.00;2.00;2.00;5;5;1;1;5;1;-1.10344;-0.34492;9;5;2.00;1;5;76.00;12;10;3
1.890;4.00;2;6;3;2;2.00;2.00;2.00;2.00;6;5;5;7;5;5;-0.84170;0.94591;1;99;4.00;1;1;38.00;14;2;3
1.903;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;3;1;1;99;-1.12352;-0.42140;1;7;3.00;2;1;56.00;14;2;3
1.907;3.00;1;3;4;3;1.00;2.00;2.00;2.00;1;1;1;5;1;1;-0.94366;-1.22862;2;1;1.00;2;6;19.00;21;4;3
1.920;3.00;1;2;4;3;1.00;1.00;2.00;1.00;1;1;1;3;1;1;-0.51740;-0.55460;2;5;2.00;1;1;34.00;16;2;3
1.921;1.00;1;10;1;1;1.00;2.00;2.00;1.00;1;1;1;8;1;1;-0.24150;-0.08502;1;99;4.00;2;1;64.00;14;99;1
1.937;4.00;2;1;4;3;2.00;2.00;2.00;2.00;3;4;6;8;4;4;0.59435;4.26437;1;3;1.00;2;6;21.00;18;99;3
1.941;1.00;1;10;2;1;1.00;1.00;1.00;1.00;99;1;1;3;1;1;-0.34324;0.74883;1;6;3.00;2;1;44.00;14;99;1
1.942;4.00;99;99;3;3;1.00;1.00;2.00;2.00;8;5;10;10;8;8;1.76902;-0.47119;2;99;4.00;1;6;28.00;21;99;2
1.944;4.00;2;1;4;3;2.00;2.00;2.00;2.00;10;1;10;10;6;10;1.99428;0.31733;2;1;1.00;2;6;27.00;21;5;2
1.963;4.00;3;1;4;3;2.00;2.00;2.00;2.00;10;99;10;10;10;10;1.08327;-0.05853;3;3;1.00;1;6;30.00;21;7;3
1.964;4.00;3;1;4;3;2.00;2.00;2.00;2.00;1;1;1;10;3;1;0.67325;-0.36786;2;1;1.00;1;1;48.00;14;2;3
1.966;2.00;1;2;2;2;1.00;2.00;2.00;2.00;1;1;4;7;1;1;-0.95540;0.39766;1;99;4.00;1;6;20.00;13;10;3
1.968;3.00;1;3;3;2;1.00;2.00;2.00;1.00;1;1;1;10;5;5;0.64406;-0.14527;2;99;4.00;2;6;18.00;21;99;3
1.970;3.00;1;3;3;2;1.00;2.00;2.00;1.00;1;1;3;10;2;2;-0.47049;0.53026;1;3;1.00;2;1;37.00;15;5;2
1.976;2.00;1;10;1;2;1.00;2.00;2.00;1.00;5;1;1;2;1;1;0.57716;-0.04916;2;99;4.00;2;1;25.00;17;99;3
1.978;2.00;1;10;1;2;1.00;1.00;2.00;1.00;99;99;1;1;99;1;-0.19598;-0.78344;2;99;4.00;2;1;44.00;13;99;2
1.987;2.00;2;6;2;2;1.00;1.00;2.00;2.00;1;1;3;9;1;1;0.03285;0.22064;1;4;1.00;2;5;25.00;18;99;3
1.991;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.27415;-0.20266;1;99;4.00;2;5;70.00;12;99;1
1.994;2.00;2;10;1;2;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.90097;-0.12890;1;6;3.00;1;1;68.00;12;2;3
1.996;1.00;1;10;1;1;1.00;1.00;1.00;2.00;1;1;2;2;4;2;-1.04234;-0.37635;9;8;3.00;2;1;49.00;15;99;2
2.006;4.00;2;6;3;3;1.00;2.00;2.00;2.00;8;5;5;9;99;5;1.56509;0.24527;2;4;1.00;1;6;21.00;21;99;1
2.007;2.00;99;99;2;3;2.00;2.00;2.00;2.00;4;4;1;7;3;4;0.16375;-0.14298;1;6;3.00;1;6;21.00;21;99;2
2.010;4.00;3;1;4;3;2.00;2.00;2.00;2.00;10;5;10;10;10;5;1.56706;0.91987;2;4;1.00;1;1;20.00;21;99;2
2.016;4.00;3;4;4;3;1.00;2.00;2.00;2.00;1;1;1;1;1;1;-0.34324;0.74883;1;99;4.00;1;1;32.00;12;9;4
2.019;1.00;1;10;1;1;1.00;1.00;2.00;1.00;99;99;99;99;99;99;-1.11138;0.08604;1;99;4.00;2;5;53.00;14;99;3
2.025;1.00;1;10;1;1;1.00;1.00;2.00;2.00;99;99;99;99;99;99;-0.41448;0.34337;2;5;2.00;1;1;29.00;14;8;3
2.036;4.00;2;1;4;3;2.00;2.00;2.00;2.00;8;8;8;8;5;5;1.34783;-0.76573;3;2;1.00;2;6;25.00;21;3;2
2.037;2.00;1;7;2;2;1.00;1.00;2.00;1.00;7;1;1;8;1;1;-0.61360;-0.86242;2;5;2.00;1;6;32.00;21;4;2
2.048;4.00;99;99;4;3;2.00;2.00;2.00;2.00;10;10;10;10;1;10;2.04870;-0.20924;2;1;1.00;2;6;47.00;14;99;3
2.049;3.00;1;4;3;2;1.00;1.00;1.00;1.00;1;1;1;5;5;1;-0.48514;0.04449;1;8;3.00;1;1;61.00;12;7;3
2.057;4.00;2;6;3;2;1.00;2.00;2.00;2.00;3;4;5;6;6;7;1.55984;-0.86502;2;5;2.00;2;6;20.00;16;2;3
2.058;2.00;2;8;2;2;1.00;2.00;2.00;2.00;99;99;99;99;99;6;-0.03653;0.32366;1;99;4.00;1;1;53.00;12;2;3
2.063;1.00;1;8;1;1;1.00;1.00;2.00;1.00;1;1;1;1;2;1;-1.49001;-0.00003;1;8;3.00;2;5;65.00;15;99;1
2.067;1.00;2;8;2;1;1.00;1.00;2.00;2.00;2;2;1;1;1;1;-1.12352;-0.42140;1;7;3.00;1;6;22.00;21;99;1
2.068;1.00;2;8;2;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;0.01271;-0.03297;2;4;1.00;1;1;71.00;12;7;3
2.076;3.00;1;3;3;2;1.00;1.00;2.00;1.00;5;6;6;6;7;6;1.01201;3.33151;1;5;2.00;2;1;42.00;16;99;4
2.079;1.00;1;6;2;1;1.00;2.00;2.00;1.00;1;1;2;1;3;1;0.77196;0.73016;2;6;3.00;2;1;42.00;14;99;3
2.080;2.00;1;4;3;1;1.00;2.00;2.00;1.00;3;3;6;6;99;3;-0.39900;1.60485;1;4;1.00;1;6;20.00;17;8;4
2.084;3.00;1;10;4;2;1.00;1.00;1.00;1.00;3;8;99;10;10;1;-0.11704;-1.20211;2;5;2.00;2;4;58.00;12;99;2
2.091;1.00;1;8;2;1;1.00;1.00;2.00;1.00;1;1;1;1;1;1;-1.64064;0.21872;1;8;3.00;2;1;66.00;14;99;3
2.097;2.00;1;2;3;1;1.00;1.00;1.00;1.00;99;99;5;5;1;2;-0.71642;0.67508;1;2;1.00;2;1;56.00;16;99;2
2.100;2.00;1;8;2;2;1.00;1.00;2.00;1.00;1;1;1;4;1;1;-0.85787;-0.42134;1;6;3.00;2;1;56.00;16;99;2
2.102;3.00;1;4;3;2;1.00;2.00;1.00;1.00;2;2;2;2;1;1;-0.95540;0.39766;1;5;2.00;1;1;51.00;15;10;3
2.118;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;10;1;1;-1.06241;-0.45284;1;99;4.00;1;4;53.00;12;11;4
2.121;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.16993;-0.52653;1;99;4.00;2;5;72.00;12;11;4
2.128;4.00;2;3;4;2;2.00;2.00;2.00;2.00;1;2;3;3;6;3;-0.47190;2.01370;1;4;1.00;1;1;65.00;15;5;2
2.130;2.00;1;4;2;2;1.00;1.00;2.00;1.00;1;1;2;3;4;1;-1.49001;-0.00003;1;5;2.00;2;1;66.00;15;99;3
2.136;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.16993;-0.52653;1;99;4.00;1;5;74.00;12;11;4
2.139;3.00;1;4;3;3;1.00;2.00;2.00;2.00;2;2;7;10;7;7;0.03359;-1.42085;2;4;1.00;1;6;21.00;14;99;4
2.150;2.00;1;10;1;2;1.00;2.00;2.00;2.00;1;1;1;1;1;1;-0.64357;-0.98263;2;99;4.00;1;6;79.00;12;10;3
2.155;4.00;2;3;4;3;1.00;2.00;2.00;2.00;8;99;8;8;8;8;2.19624;-1.07373;3;99;4.00;1;2;27.00;21;3;2
2.160;4.00;99;99;4;3;2.00;2.00;2.00;2.00;99;1;99;10;99;99;1.83952;-0.60306;2;99;4.00;1;6;19.00;16;4;3
2.167;1.00;1;10;1;1;1.00;1.00;1.00;1.00;99;99;1;2;1;1;-0.85323;-0.05901;1;5;2.00;1;1;47.00;21;4;2
2.169;4.00;2;3;4;3;1.00;2.00;2.00;2.00;7;7;10;10;5;5;1.40138;-1.07444;3;2;1.00;1;5;69.00;18;5;2
2.174;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;3;1;1;-0.89334;-0.91033;2;6;3.00;2;6;57.00;18;4;2
2.178;4.00;2;10;4;3;1.00;2.00;2.00;2.00;1;7;1;1;10;1;-0.69725;0.25261;1;99;4.00;1;1;60.00;12;6;3
2.183;3.00;1;10;4;2;1.00;1.00;2.00;1.00;5;5;5;7;5;5;-0.17178;0.41191;2;5;2.00;1;6;21.00;21;99;4
2.186;2.00;2;6;2;2;1.00;1.00;2.00;2.00;1;1;1;1;1;1;-0.61977;0.47147;1;4;1.00;1;1;36.00;17;7;2
2.189;1.00;1;9;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.68503;-0.39393;1;4;1.00;2;1;46.00;14;99;3
2.191;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.41868;0.54342;1;99;4.00;2;1;60.00;12;99;3
2.192;1.00;1;8;2;1;1.00;1.00;2.00;2.00;1;1;1;1;1;1;-0.20950;0.93725;1;99;4.00;2;1;56.00;12;99;3
2.195;2.00;1;7;2;2;1.00;1.00;1.00;1.00;1;1;1;6;1;1;-0.39634;0.14857;1;7;3.00;2;1;32.00;17;99;3
2.196;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;2;1;1;-1.32056;-0.30779;1;99;4.00;2;1;69.00;12;99;4
2.198;1.00;1;8;1;1;1.00;1.00;2.00;2.00;99;99;99;7;99;1;-0.65165;-1.59980;2;99;4.00;2;1;47.00;16;99;2
2.200;4.00;99;99;4;3;2.00;2.00;2.00;2.00;99;99;7;8;99;99;2.08872;-1.14743;3;99;4.00;2;1;41.00;21;4;2
2.201;1.00;1;5;2;1;1.00;1.00;1.00;1.00;1;1;1;1;3;1;-1.05426;1.54611;1;99;4.00;2;1;56.00;13;99;2
2.204;4.00;2;5;3;2;2.00;1.00;2.00;2.00;1;1;1;5;99;99;0.04976;-0.05359;2;99;4.00;1;6;51.00;12;4;2
2.205;1.00;1;7;1;1;1.00;1.00;1.00;1.00;1;1;1;1;5;3;-1.69373;-0.38154;1;99;4.00;1;1;66.00;14;4;2
2.219;1.00;1;10;1;1;1.00;1.00;1.00;1.00;1;1;1;2;1;1;-1.43559;-0.52659;1;99;4.00;1;1;43.00;18;6;3
2.220;4.00;99;3;3;3;1.00;2.00;2.00;2.00;2;2;6;9;7;2;0.71822;-0.52695;2;3;1.00;2;6;23.00;21;99;3
2.225;4.00;2;7;3;2;2.00;1.00;2.00;2.00;10;4;6;10;3;10;1.76443;-0.60607;3;1;1.00;1;6;62.00;15;5;2
2.243;4.00;2;3;3;2;1.00;2.00;2.00;2.00;1;1;1;1;3;1;0.11828;-0.63258;9;4;1.00;1;1;32.00;14;7;3
2.255;1.00;1;10;2;1;1.00;1.00;2.00;1.00;3;1;1;3;1;1;-1.06241;-0.45284;1;99;4.00;2;1;64.00;12;2;3
2.258;4.00;2;6;4;3;1.00;1.00;2.00;1.00;3;4;99;7;7;6;1.56334;-0.67802;3;4;1.00;2;6;20.00;21;99;2
2.260;2.00;2;8;2;2;1.00;1.00;1.00;1.00;1;1;1;2;1;1;-0.90097;-0.12890;1;5;2.00;2;1;41.00;18;99;2
2.262;3.00;1;8;3;2;1.00;2.00;2.00;2.00;1;1;1;1;1;1;-0.21802;1.03759;1;99;4.00;2;1;30.00;14;99;3
2.268;3.00;1;7;3;2;1.00;1.00;2.00;2.00;1;1;1;1;1;1;0.56247;-1.70326;3;4;1.00;2;6;23.00;21;99;2
2.270;1.00;1;10;2;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.42720;0.64376;1;4;1.00;2;1;46.00;13;99;3
2.272;1.00;1;9;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.06653;-0.51920;9;99;4.00;2;1;57.00;12;99;3
2.274;2.00;1;9;3;1;1.00;1.00;2.00;1.00;1;99;1;10;1;1;-0.06653;-0.51920;9;99;4.00;2;1;65.00;12;99;3
2.282;3.00;1;8;3;2;1.00;1.00;2.00;2.00;2;1;1;5;4;1;-0.36662;-0.76518;9;5;2.00;2;1;41.00;16;99;2
2.283;2.00;1;6;2;2;1.00;1.00;2.00;1.00;1;1;1;3;1;1;-0.41238;0.98353;9;5;2.00;1;5;74.00;14;11;3
2.284;4.00;2;4;3;3;1.00;2.00;2.00;1.00;3;3;2;4;2;1;0.13302;0.13941;2;99;4.00;1;1;55.00;14;6;3
2.290;2.00;1;10;2;2;1.00;1.00;1.00;1.00;1;1;1;5;1;1;0.08818;0.13144;2;6;3.00;2;5;66.00;21;4;2
2.292;4.00;2;9;3;3;1.00;2.00;2.00;2.00;10;10;10;10;10;1;1.92994;-0.26939;3;99;4.00;2;1;69.00;12;99;4
2.293;4.00;2;10;4;2;1.00;2.00;2.00;2.00;1;1;1;1;10;1;0.46953;-0.74938;2;3;1.00;2;1;71.00;12;5;2
2.301;1.00;1;7;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.54311;-0.60029;1;5;2.00;2;1;54.00;14;99;2
2.304;1.00;1;7;1;1;1.00;1.00;1.00;1.00;1;1;2;1;1;1;-0.79931;0.19123;1;5;2.00;2;1;56.00;14;99;2
2.305;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.54311;-0.60029;1;6;3.00;2;1;67.00;13;99;4
