NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
471;2.00;1;10;2;2;1.00;1.00;1.00;1.00;1;1;1;7;10;1;0.71822;-0.52695;2;99;4.00;2;1;34.00;21;99;1
473;4.00;3;1;4;3;2.00;2.00;2.00;2.00;8;8;10;10;9;99;1.71134;-1.20633;3;2;1.00;2;1;31.00;21;99;2
476;3.00;1;6;3;2;1.00;1.00;2.00;2.00;2;2;2;8;9;5;0.04166;-0.80369;2;99;4.00;1;6;27.00;21;3;1
483;2.00;1;10;1;2;1.00;1.00;1.00;1.00;1;1;1;5;7;1;-1.00639;-0.45453;1;99;4.00;2;6;67.00;12;99;1
500;1.00;1;4;2;1;1.00;1.00;1.00;1.00;1;1;2;4;1;1;1.72393;-1.29393;3;5;2.00;2;6;19.00;21;99;2
509;4.00;3;1;4;3;2.00;2.00;2.00;2.00;10;10;10;10;10;10;2.58496;-0.39966;3;1;1.00;1;1;33.00;15;9;4
520;4.00;2;5;4;2;1.00;2.00;2.00;1.00;5;1;1;10;1;1;0.67837;1.02719;1;5;2.00;1;1;57.00;12;2;3
529;3.00;1;6;3;3;1.00;1.00;2.00;2.00;2;2;2;9;9;6;-0.33151;-0.87744;2;4;1.00;1;1;42.00;12;8;3
543;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.64064;0.21872;1;99;4.00;2;1;40.00;12;99;3
551;4.00;99;99;3;2;2.00;1.00;2.00;2.00;5;5;6;8;1;1;-0.21363;-0.20189;1;99;4.00;1;6;18.00;21;99;2
566;4.00;2;4;4;3;2.00;1.00;2.00;2.00;1;1;1;99;1;1;-0.46297;-1.08117;2;6;3.00;1;6;30.00;21;2;1
568;1.00;1;10;2;1;1.00;1.00;2.00;1.00;1;1;1;1;1;1;-0.75035;-0.34765;1;5;2.00;2;1;51.00;14;99;3
569;4.00;2;3;3;3;1.00;2.00;2.00;2.00;1;1;2;6;1;1;-0.43065;-1.02388;2;5;2.00;2;1;25.00;15;8;4
571;2.00;1;7;2;2;1.00;2.00;1.00;1.00;1;1;1;1;1;1;-0.56579;0.45633;1;99;4.00;2;5;77.00;12;99;4
579;1.00;1;10;1;1;1.00;1.00;1.00;1.00;99;1;1;99;1;1;0.08409;-0.73794;9;3;1.00;1;6;45.00;21;3;1
580;3.00;1;10;3;2;1.00;2.00;2.00;1.00;1;1;1;5;1;1;-0.58356;0.80087;1;5;2.00;2;1;43.00;14;99;3
581;1.00;1;10;1;1;1.00;1.00;2.00;1.00;1;1;1;1;1;1;-0.58356;0.80087;1;5;2.00;2;1;71.00;12;99;4
588;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-0.89057;-0.62836;2;99;4.00;1;1;68.00;21;12;2
593;4.00;2;7;3;3;1.00;1.00;2.00;2.00;5;1;3;5;6;6;0.62791;0.73650;1;4;1.00;2;1;28.00;21;99;1
596;2.00;1;5;3;1;1.00;2.00;2.00;2.00;1;1;2;3;5;4;-0.40370;-0.00635;2;4;1.00;1;1;49.00;15;7;3
600;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.17248;0.11747;1;5;2.00;2;1;48.00;14;99;3
602;1.00;1;8;1;1;1.00;1.00;1.00;1.00;1;1;1;1;1;1;-1.43145;0.61254;1;5;2.00;2;1;56.00;14;99;3
605;4.00;3;3;4;3;1.00;2.00;2.00;1.00;1;3;5;5;5;5;0.88890;1.14348;1;3;1.00;1;6;19.00;16;99;4
